,Are you self-employed?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,company_size,age_class
0,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,No,Yes,No,Yes,0,Not applicable to me,Not applicable to me,39,Male,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,3,3
1,0,1.0,1.0,No,Yes,Yes,Yes,Yes,2,No,No,Maybe,Yes,Yes,No,1,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,29,Male,United States of America,Illinois,United States of America,Illinois,Full track,Never,2,2
2,0,1.0,1.0,No,I am not sure,No,No,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe,Yes,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,38,Male,United Kingdom,,United Kingdom,,Back-end Developer,Always,2,3
4,0,0.0,0.0,Yes,Yes,No,No,No,3,Yes,Maybe,Maybe,No,No,No,1,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,43,Female,United States of America,Illinois,United States of America,Illinois,Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes,2,4
5,0,1.0,1.0,Yes,I am not sure,No,Yes,Yes,2,Yes,Yes,Maybe,Yes,No,Yes,1,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,Yes,No,No,No,Yes,No,1,Not applicable to me,Often,42,Male,United Kingdom,,United Kingdom,,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|Designer,Sometimes,6,4
6,0,1.0,1.0,I don't know,No,No,No,I don't know,2,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Tennessee,United States of America,Tennessee,Back-end Developer,Sometimes,3,3
7,0,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Maybe,Yes,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,37,Female,United States of America,Virginia,United States of America,Virginia,Dev Evangelist/Advocate|Back-end Developer,Always,6,3
8,0,0.0,0.0,I don't know,No,No,No,I don't know,5,Yes,Yes,Yes,Maybe,No,No,1,Maybe,Maybe,Maybe,"Yes, they do",Somewhat open,Yes,No,Yes,Yes,Yes,Yes,1,Rarely,Often,44,Female,United States of America,California,United States of America,California,Support|Back-end Developer|One-person shop,Sometimes,3,4
10,0,1.0,1.0,Yes,I am not sure,Yes,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,"No, I don't think it would",Maybe,Very open,Yes,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,28,Male,United States of America,Oregon,United States of America,Oregon,Front-end Developer,Never,3,2
11,0,0.0,0.0,Yes,Yes,No,I don't know,I don't know,4,Yes,No,No,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,Maybe,Yes,Yes,Yes,Yes,1,Never,Rarely,34,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,Executive Leadership,Sometimes,4,3
